"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.144480533E0,2.298433632E-1,3.734954596E-1,9.797073364E0,9.806883977E0
1.148476303E0,1.915361285E-1,4.118026793E-1,9.825803757E0,9.836294373E0
1.152473535E0,1.436520964E-1,3.830722570E-1,9.768342972E0,9.776906704E0
1.156471920E0,2.011129409E-1,3.926490843E-1,9.758766174E0,9.768732618E0
1.160470460E0,1.436520964E-1,4.788403511E-1,9.797073364E0,9.809820106E0
1.164468845E0,1.053448766E-1,4.213795066E-1,9.816226959E0,9.825831769E0
1.168464923E0,1.532289088E-1,4.596867263E-1,9.835380554E0,9.847309360E0
1.172465155E0,1.628057212E-1,4.118026793E-1,9.806650162E0,9.816642733E0
1.176462464E0,1.340752989E-1,3.543418646E-1,9.720458984E0,9.727839288E0
1.180459080E0,2.011129409E-1,3.639186621E-1,9.777919769E0,9.786756267E0
1.184460312E0,1.436520964E-1,4.309563041E-1,9.816226959E0,9.826732467E0
1.188455698E0,1.819593310E-1,4.118026793E-1,9.768342972E0,9.778712342E0
1.192482468E0,1.628057212E-1,4.118026793E-1,9.787496567E0,9.797508673E0
1.196481469E0,1.532289088E-1,4.022258818E-1,9.806650162E0,9.816091491E0
1.200479316E0,9.576806426E-2,4.501099288E-1,9.816226959E0,9.827007794E0
1.204479394E0,2.011129409E-1,4.309563041E-1,9.777919769E0,9.789478268E0
1.208474395E0,1.723825186E-1,4.501099288E-1,9.825803757E0,9.837618317E0
1.212472550E0,1.628057212E-1,4.213795066E-1,9.797073364E0,9.807482495E0
1.216469858E0,1.149216816E-1,4.213795066E-1,9.825803757E0,9.835506451E0
1.220469167E0,2.202665508E-1,4.596867263E-1,9.768342972E0,9.781633486E0
1.224467091E0,1.244984865E-1,4.118026793E-1,9.816226959E0,9.825649751E0
1.228463938E0,1.053448766E-1,3.734954596E-1,9.777919769E0,9.785617580E0
1.232461786E0,2.106897533E-1,3.734954596E-1,9.797073364E0,9.806453770E0
1.236459402E0,1.915361285E-1,4.596867263E-1,9.825803757E0,9.838415393E0
1.240457557E0,1.532289088E-1,5.171475410E-1,9.758766174E0,9.773660416E0
1.244456635E0,1.532289088E-1,4.405331016E-1,9.768342972E0,9.779472017E0
1.248482174E0,1.053448766E-1,4.022258818E-1,9.806650162E0,9.815460794E0
1.252480560E0,1.723825186E-1,4.118026793E-1,9.806650162E0,9.816806231E0
1.256478176E0,1.628057212E-1,4.118026793E-1,9.777919769E0,9.787941671E0
1.260475947E0,1.915361285E-1,4.213795066E-1,9.835380554E0,9.846266167E0
1.264475717E0,1.628057212E-1,4.501099288E-1,9.835380554E0,9.847020630E0
1.268473256E0,2.011129409E-1,4.213795066E-1,9.806650162E0,9.817759138E0
1.272469180E0,1.340752989E-1,3.734954596E-1,9.816226959E0,9.824244844E0
1.276467335E0,1.819593310E-1,4.309563041E-1,9.797073364E0,9.808235266E0
1.280466721E0,1.436520964E-1,4.501099288E-1,9.864110947E0,9.875419973E0
